issue_id,title,body,text
1189,Remove useless code,"In this PR, I remove completely useless code, which has only increased compilation time and made the files themselves bigger for no reason. This PR makes the Linux kernel really light weight, which may help people that are low on disk space. Sincerely, me.","Remove useless code In this PR, I remove completely useless code, which has only increased compilation time and made the files themselves bigger for no reason. This PR makes the Linux kernel really light weight, which may help people that are low on disk space. Sincerely, me."
1188,sound code is updated,Bhai please accept my pull request . i am new developer & my name is frank,sound code is updated Bhai please accept my pull request . i am new developer & my name is frank
1187,closed pull request,,closed pull request
1186,PATHTAG add dasharo acpi,,PATHTAG add dasharo acpi
1185,Create c cpp.yml,,Create c cpp.yml
1184,Typo file vs directory,Simple typo in the way files vs directory inputs to FILETAG are described on this page.,Typo file vs directory Simple typo in the way files vs directory inputs to FILETAG are described on this page.
1183,fix readme,i made the readme cooler for the coolest kernel ever NUMBERTAG,fix readme i made the readme cooler for the coolest kernel ever NUMBERTAG
1182,Sync,,Sync
1181,Improving metric.py,"This change improves code readability, adds performance optimisations, error handling and adds additional features like supporting more operators.","Improving metric.py This change improves code readability, adds performance optimisations, error handling and adds additional features like supporting more operators."
1180,Create SECURITY.md,Popo,Create SECURITY.md Popo
1179,é de suma importancia que senhor linux que o allan não é um baitola,é de suma importancia que senhor linux que o allan não é um baitola😈😈😈😈😈,é de suma importancia que senhor linux que o allan não é um baitola é de suma importancia que senhor linux que o allan não é um baitola😈😈😈😈😈
1178,Add EDID_QUIRK for Playstation VR Headsets with Product ID APITAG,"This fixes a bug where some Playstation VR Headsets would not be assigned the EDID_QUIRK_NON_DESKTOP quirk, causing them to be inaccessible by certain software under Wayland.","Add EDID_QUIRK for Playstation VR Headsets with Product ID APITAG This fixes a bug where some Playstation VR Headsets would not be assigned the EDID_QUIRK_NON_DESKTOP quirk, causing them to be inaccessible by certain software under Wayland."
1177,Basically NUMBERTAG,FILETAG,Basically NUMBERTAG FILETAG
1176,PATHTAG charlie report manual,,PATHTAG charlie report manual
1175,hello world,,hello world
1174,test hello world,,test hello world
1173,Coursework,,Coursework
1172,PATHTAG huge ptep get and clear NUMBERTAG manual,,PATHTAG huge ptep get and clear NUMBERTAG manual
